day_of_week,date_time,sensor_sense
Mon,11/4/2019 0:47,480
Mon,11/4/2019 0:47,480
Mon,11/4/2019 0:47,480
Mon,11/4/2019 0:47,480
Mon,11/4/2019 0:47,480
Mon,11/4/2019 0:47,480
Mon,11/4/2019 0:47,480
Mon,11/4/2019 0:47,480
Mon,11/4/2019 0:47,480
Mon,11/4/2019 0:47,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:48,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
Mon,11/4/2019 0:49,480
